Source,Target,Type,Id,Label,Weight
2,1,Undirected,10006,,1
3,1,Undirected,10012,,1
3,2,Undirected,10013,,1
4,3,Undirected,10022,,1
5,2,Undirected,10035,,1
5,3,Undirected,10036,,1
5,4,Undirected,10037,,1
6,3,Undirected,10045,,1
6,4,Undirected,10046,,1
6,5,Undirected,10047,,1
7,4,Undirected,10061,,1
8,4,Undirected,10066,,1
8,7,Undirected,10067,,1
9,7,Undirected,10070,,1
9,8,Undirected,10071,,1
10,7,Undirected,10073,,1
10,8,Undirected,10074,,1
10,9,Undirected,10075,,1
11,4,Undirected,10076,,1
11,6,Undirected,10077,,1
12,11,Undirected,10082,,1
13,11,Undirected,10086,,1
13,12,Undirected,10087,,1
14,6,Undirected,10088,,1
15,6,Undirected,10094,,1
15,14,Undirected,10095,,1
16,4,Undirected,10098,,1
16,5,Undirected,10099,,1
16,14,Undirected,10100,,1
16,15,Undirected,10101,,1
17,11,Undirected,10105,,1
18,6,Undirected,10106,,1
19,6,Undirected,10108,,1
19,18,Undirected,10109,,1
20,6,Undirected,10112,,1
21,3,Undirected,10113,,1
21,4,Undirected,10114,,1
21,16,Undirected,10115,,1
22,19,Undirected,10118,,1
23,3,Undirected,10119,,1
23,19,Undirected,10120,,1
24,4,Undirected,10124,,1
24,5,Undirected,10125,,1
24,23,Undirected,10126,,1
25,12,Undirected,10130,,1
26,2,Undirected,10133,,1
26,3,Undirected,10134,,1
26,4,Undirected,10135,,1
26,5,Undirected,10136,,1
26,6,Undirected,10137,,1
26,24,Undirected,10138,,1
27,26,Undirected,10143,,1
28,1,Undirected,10144,,1
28,2,Undirected,10145,,1
28,3,Undirected,10146,,1
28,5,Undirected,10147,,1
28,6,Undirected,10148,,1
28,11,Undirected,10149,,1
28,26,Undirected,10150,,1
29,25,Undirected,10153,,1
30,29,Undirected,10162,,1
31,29,Undirected,10163,,1
32,31,Undirected,10165,,1
33,16,Undirected,10166,,1
34,12,Undirected,10169,,1
34,33,Undirected,10170,,1
35,34,Undirected,10177,,1
36,34,Undirected,10179,,1
36,35,Undirected,10180,,1
37,34,Undirected,10181,,1
38,34,Undirected,10184,,1
38,37,Undirected,10185,,1
39,7,Undirected,10187,,1
39,34,Undirected,10188,,1
39,38,Undirected,10189,,1
40,4,Undirected,10192,,1
40,6,Undirected,10193,,1
40,14,Undirected,10194,,1
40,26,Undirected,10195,,1
40,28,Undirected,10196,,1
41,6,Undirected,10197,,1
41,14,Undirected,10198,,1
41,16,Undirected,10199,,1
41,21,Undirected,10200,,1
42,1,Undirected,10202,,1
42,3,Undirected,10203,,1
42,4,Undirected,10204,,1
42,5,Undirected,10205,,1
42,6,Undirected,10206,,1
42,14,Undirected,10207,,1
42,41,Undirected,10208,,1
43,1,Undirected,10212,,1
43,42,Undirected,10213,,1
44,42,Undirected,10214,,1
45,44,Undirected,10219,,1
46,29,Undirected,10221,,1
46,33,Undirected,10222,,1
46,39,Undirected,10223,,1
46,44,Undirected,10224,,1
46,45,Undirected,10225,,1
49,29,Undirected,10236,,1
50,25,Undirected,10238,,1
50,29,Undirected,10239,,1
50,46,Undirected,10240,,1
50,49,Undirected,10241,,1
51,29,Undirected,10242,,1
51,46,Undirected,10243,,1
51,47,Undirected,10244,,1
51,48,Undirected,10245,,1
52,29,Undirected,10247,,1
52,46,Undirected,10248,,1
52,47,Undirected,10249,,1
52,48,Undirected,10250,,1
53,29,Undirected,10252,,1
53,46,Undirected,10253,,1
53,47,Undirected,10254,,1
53,48,Undirected,10255,,1
53,51,Undirected,10256,,1
53,52,Undirected,10257,,1
54,44,Undirected,10258,,1
55,44,Undirected,10266,,1
55,54,Undirected,10267,,1
56,54,Undirected,10271,,1
56,55,Undirected,10272,,1
57,54,Undirected,10275,,1
57,55,Undirected,10276,,1
57,56,Undirected,10277,,1
58,54,Undirected,10278,,1
58,55,Undirected,10279,,1
58,56,Undirected,10280,,1
59,54,Undirected,10281,,1
60,54,Undirected,10285,,1
60,59,Undirected,10286,,1
61,59,Undirected,10289,,1
61,60,Undirected,10290,,1
62,59,Undirected,10291,,1
62,60,Undirected,10292,,1
63,6,Undirected,10293,,1
63,15,Undirected,10294,,1
63,21,Undirected,10295,,1
63,54,Undirected,10296,,1
64,5,Undirected,10297,,1
64,28,Undirected,10298,,1
64,34,Undirected,10299,,1
64,37,Undirected,10300,,1
64,39,Undirected,10301,,1
65,64,Undirected,10305,,1
66,64,Undirected,10311,,1
66,65,Undirected,10312,,1
67,64,Undirected,10317,,1
67,65,Undirected,10318,,1
67,66,Undirected,10319,,1
68,65,Undirected,10323,,1
68,66,Undirected,10324,,1
68,67,Undirected,10325,,1
69,65,Undirected,10328,,1
69,66,Undirected,10329,,1
69,67,Undirected,10330,,1
69,68,Undirected,10331,,1
70,65,Undirected,10333,,1
70,66,Undirected,10334,,1
70,67,Undirected,10335,,1
70,68,Undirected,10336,,1
70,69,Undirected,10337,,1
71,1,Undirected,10338,,1
71,2,Undirected,10339,,1
71,4,Undirected,10340,,1
71,6,Undirected,10341,,1
71,23,Undirected,10342,,1
71,24,Undirected,10343,,1
71,26,Undirected,10344,,1
71,42,Undirected,10345,,1
72,23,Undirected,10351,,1
72,24,Undirected,10352,,1
72,71,Undirected,10353,,1
73,71,Undirected,10356,,1
74,71,Undirected,10358,,1
74,73,Undirected,10359,,1
75,71,Undirected,10360,,1
75,72,Undirected,10361,,1
76,75,Undirected,10365,,1
77,75,Undirected,10367,,1
77,76,Undirected,10368,,1
78,71,Undirected,10369,,1
78,72,Undirected,10370,,1
78,75,Undirected,10371,,1
3,79,Undirected,10372,,1
4,79,Undirected,10373,,1
5,79,Undirected,10374,,1
54,79,Undirected,10375,,1
71,79,Undirected,10376,,1
72,79,Undirected,10377,,1
79,28,Undirected,10378,,1
4,80,Undirected,10379,,1
5,80,Undirected,10380,,1
6,80,Undirected,10381,,1
28,80,Undirected,10382,,1
80,79,Undirected,10383,,1
26,80,Undirected,10384,,1
81,79,Undirected,10385,,1
82,81,Undirected,10387,,1
82,21,Undirected,10388,,1
24,80,Undirected,10389,,1
23,42,Undirected,10390,,1
24,79,Undirected,10391,,1
17,25,Undirected,10392,,1
27,28,Undirected,10393,,1
3,71,Undirected,10395,,1
39,79,Undirected,10396,,1
72,64,Undirected,10397,,1
72,3,Undirected,10398,,1
64,4,Undirected,10399,,1
14,64,Undirected,10400,,1
81,3,Undirected,10401,,1
72,26,Undirected,10402,,1
14,71,Undirected,10403,,1
14,72,Undirected,10404,,1
14,26,Undirected,10405,,1
14,24,Undirected,10406,,1
23,28,Undirected,10407,,1
23,26,Undirected,10408,,1
39,33,Undirected,10410,,1
3,82,Undirected,10411,,1
24,28,Undirected,10412,,1
36,12,Undirected,10413,,1
64,36,Undirected,10414,,1
64,26,Undirected,10415,,1
12,64,Undirected,10416,,1
28,4,Undirected,10417,,1
20,41,Undirected,10418,,1
20,3,Undirected,10419,,1
43,6,Undirected,10420,,1
43,3,Undirected,10421,,1
43,28,Undirected,10422,,1
43,14,Undirected,10423,,1
78,73,Undirected,10424,,1
81,6,Undirected,10425,,1
